Code/Ref,License holder,Company_Name_cl,Type of License,License_type_cl,Date of award,Award_date_cl,Expiry date,Expiry_date_cl,Commodity,Commodity_cl,Area (Km2),Area_km2_cl,Location (Region),Coordinates of the license area
0761/2010,,"Zabutalu Mining Co.,Ltd.",,Production Sharing (Small Scale),2014-10-29T00:00:00Z,2014-10-29,2015-10-28T00:00:00Z,2015-10-28,,Copper Ore,49.5,49.5,,96 C/6
0762/2010,,"Zabutalu Mining Co.,Ltd.",,Production Sharing (Small Scale),2014-10-29T00:00:00Z,2014-10-29,2015-10-28T00:00:00Z,2015-10-28,,Copper Ore,49.5,49.5,,93 B/4 F
0001/2015,,"Zabutalu Mining Co.,Ltd.",,Production Sharing (Small Scale),2015-01-07T00:00:00Z,2015-01-07,2010-01-06T00:00:00Z,2010-01-06,,Copper Ore,49.5,49.5,,93-B/4&B/8 F
0002/2015,,"Zabutalu Mining Co.,Ltd.",,Production Sharing (Small Scale),2015-01-07T00:00:00Z,2015-01-07,2010-01-06T00:00:00Z,2010-01-06,,Copper Ore,49.5,49.5,,93-B/4&B/8 F
0003/2015,,"Zabutalu Mining Co.,Ltd.",,Production Sharing (Small Scale),2015-01-07T00:00:00Z,2015-01-07,2010-01-06T00:00:00Z,2010-01-06,,Copper Ore,49.5,49.5,,93-B/4&B/8 F
0004/2015,,"Zabutalu Mining Co.,Ltd.",,Production Sharing (Small Scale),2015-01-07T00:00:00Z,2015-01-07,2010-01-06T00:00:00Z,2010-01-06,,Copper Ore,49.5,49.5,,93-B/4&B/8 F
0005/2015,,"Zabutalu Mining Co.,Ltd.",,Production Sharing (Small Scale),2015-01-07T00:00:00Z,2015-01-07,2010-01-06T00:00:00Z,2010-01-06,,Copper Ore,49.5,49.5,,93-B/4&B/8 F
0086/2006,"Shwe Aung Yadanar Mining Co.,Ltd.","Shwe Aung Yadanar Mining Co.,Ltd.",Production Sharing (Small Scale),Production Sharing (Small Scale),,,,,Lead and Zinc associated mineral,Lead and Zinc Associated,49.5,49.5,"No. 1261, Mun Kaung Sar Street Ward-12,Lashion Township, Shan State",93-1/11/P
0075/2007,"Shwe Sapar Mining Co.,Ltd.","Shwe Sapar Mining Co.,Ltd.",Production Sharing (Small Scale),Production Sharing (Small Scale),2014-07-08T00:00:00Z,2014-07-08,2015-07-07T00:00:00Z,2015-07-07,Lead and Zinc associated mineral,Lead and Zinc Associated,49.5,49.5,"N. (10/41)Myi Thit Block,64 street, Chan Mya Thrsi",93 /E 13 SO
0605/2010,,"Shwe Sapar Mining Co.,Ltd.",,Production Sharing (Small Scale),2014-09-09T00:00:00Z,2014-09-09,2015-09-08T00:00:00Z,2015-09-08,,Lead and Zinc Associated,20.0,20.0,,92 G/4
0003/2012,,"Shwe Sapar Mining Co.,Ltd.",,Production Sharing (Small Scale),2014-01-12T00:00:00Z,2014-01-12,2015-02-11T00:00:00Z,2015-02-11,,Lead and Zinc Associated,20.0,20.0,,92 G/4
0004/2012,,"Shwe Sapar Mining Co.,Ltd.",,Production Sharing (Small Scale),2014-01-12T00:00:00Z,2014-01-12,2015-02-11T00:00:00Z,2015-02-11,,Lead and Zinc Associated,20.0,20.0,,92 G/4
0007/2014,,"Shwe Sapar Mining Co.,Ltd.",,Production Sharing (Small Scale),2013-12-30T00:00:00Z,2013-12-30,2016-12-29T00:00:00Z,2016-12-29,,Lead and Zinc Associated,49.5,49.5,,92 G/4
0008/2014,,"Shwe Sapar Mining Co.,Ltd.",,Production Sharing (Small Scale),2013-12-30T00:00:00Z,2013-12-30,2016-12-29T00:00:00Z,2016-12-29,,Lead and Zinc Associated,49.5,49.5,,92 G/4
0009/2014,,"Shwe Sapar Mining Co.,Ltd.",,Production Sharing (Small Scale),2013-12-30T00:00:00Z,2013-12-30,2016-12-29T00:00:00Z,2016-12-29,,Lead and Zinc Associated,49.5,49.5,,92D/16 & 92 H/4
0010/2014,,"Shwe Sapar Mining Co.,Ltd.",,Production Sharing (Small Scale),2013-12-30T00:00:00Z,2013-12-30,2016-12-29T00:00:00Z,2016-12-29,,Lead and Zinc Associated,49.5,49.5,,92D/16 & 92 H/4
