Code/Ref,License holder,Company_name_cl,Type of License,License_type_cl,PSC ratio,Date of award,Award_date_cl,Expiry date,Expiry_date_cl,Commodity,Commodity_cl,Area (Km2),Area_km2_cl,Location (Region),Location_state_cl
0274/2014,"Bu Yaung Family Co., Ltd","Bu Yaung Family Co., Ltd",production,Production,50:50,12.11.2014,2014-11-12,11.11.2016,2016-11-11,Gold,Gold,0.0809,0.0809,Kachin,Kachin
0056/2015,"Shwe Sune Thaike Co., Ltd","Shwe Sune Thaike Co., Ltd",production,Production,50:50,11.2.2015,2015-02-11,10.2.2017,2017-02-10,Gold,Gold,0.0809,0.0809,Kachin,Kachin
0197/2015,"Jing Hpaw Myae Mining Co., Ltd","Jing Hpaw Myae Mining Co., Ltd",production,Production,50:50,14.10.2015,2015-10-14,13.10.2016,2016-10-13,Gold,Gold,0.0809,0.0809,Kachin,Kachin
0012/2016,"Myanmar Academy International Co., Ltd","Myanmar Academy International Co., Ltd",production,Production,50:50,10.2.2016,2016-02-10,9.2.2017,2017-02-09,Gold,Gold,0.0809,0.0809,Kachin,Kachin
0379/2011,"Shwe Moe Thoon Aung Mining Co., Ltd","Shwe Moe Thoon Aung Mining Co., Ltd",production,Production,50:50,25.11.2011,2011-11-25,24.11.2016,2016-11-24,Gold,Gold,0.0809,0.0809,Kachin,Kachin
0240/2014,"Kan Linn Thu Mining Co., Ltd ","Kan Linn Thu Mining Co., Ltd",production,Production,50:50,17.9.2014,2014-09-17,16.9.2016,2016-09-16,Gold,Gold,0.0809,0.0809,Kachin,Kachin
0130/2012,"Lone Sein Mining Co., Ltd","Lone Sein Mining Co., Ltd",production,Production,50:50,20.8.2012,2012-08-20,19.8.2016,2016-08-19,Gold,Gold,0.0809,0.0809,Kachin,Kachin
0168/2012,Gold Season Private Limited,Gold Season Private Limited,production,Production,50:50,5.9.2012,2012-09-05,4.9.2016,2016-09-04,Gold,Gold,0.0809,0.0809,Kachin,Kachin
0022/2015,"Mahar Shwe Zabu Co., Ltd","Mahar Shwe Zabu Co., Ltd",production,Production,50:50,21.1.2015,2015-01-21,20.1.2017,2017-01-20,Gold,Gold,0.0809,0.0809,Kachin,Kachin
0172/2015,"Natural Gold Mining & Production Co., Ltd","Natural Gold Mining & Production Co., Ltd",production,Production,50:50,19.8.2015,2015-08-19,18.8.2016,2016-08-18,Gold,Gold,0.0809,0.0809,Kachin,Kachin
0173/2015,"Natural Gold Mining & Production Co., Ltd","Natural Gold Mining & Production Co., Ltd",production,Production,50:50,19.8.2015,2015-08-19,18.8.2016,2016-08-18,Gold,Gold,0.0809,0.0809,Kachin,Kachin
0020/2015,"Maha Shwe Zabu Co., Ltd","Maha Shwe Zabu Co., Ltd",production,Production,50:50,21.1.2015,2015-01-21,20.1.2017,2017-01-20,Gold,Gold,0.0809,0.0809,Kachin,Kachin
0021/2015,"Maha Shwe Zabu Co., Ltd","Maha Shwe Zabu Co., Ltd",production,Production,50:50,21.2.2015,2015-02-21,20.1.2017,2017-01-20,Gold,Gold,0.0809,0.0809,Kachin,Kachin
0037/2013,"Shwe Phyoe Kywe Mining Co., Ltd","Shwe Phyoe Kywe Mining Co., Ltd",production,Production,50:50,6.2.2013,2013-02-06,5.2.2017,2017-02-05,Gold,Gold,0.0809,0.0809,Kachin,Kachin
0548/2010,"Htoo Ko Ko Co.,Ltd","Htoo Ko Ko Co.,Ltd",production,Production,50:50,27.8.2010,2010-08-27,26.8.2016,2016-08-26,Gold,Gold,0.0809,0.0809,Kachin,Kachin
0233/2014,"Mega Jade Star Mining Co.,Ltd","Mega Jade Star Mining Co.,Ltd",production,Production,50:50,13.8.2014,2014-08-13,12.8.2016,2016-08-12,Gold,Gold,0.0809,0.0809,Kachin,Kachin
0234/2014,"Mega Jade Star Mining Co.,Ltd","Mega Jade Star Mining Co.,Ltd",production,Production,50:50,13.8.2014,2014-08-13,12.8.2016,2016-08-12,Gold,Gold,0.0809,0.0809,Kachin,Kachin
0250/2015,"Imaw Bum Co.,Ltd","Imaw Bum Co.,Ltd",production,Production,50:50,23.12.2015,2015-12-23,22.12.2016,2016-12-22,Gold,Gold,0.0809,0.0809,Kachin,Kachin
0058/2015,"La Pyi Wun Gold Mining Co.,Ltd","La Pyi Wun Gold Mining Co.,Ltd",production,Production,50:50,19.2.2015,2015-02-19,18.2.2017,2017-02-18,Gold,Gold,0.0809,0.0809,Kachin,Kachin
0153/2015,"Ruby Dragon Mining Co., Ltd","Ruby Dragon Mining Co., Ltd",production,Production,50:50,22.7.2015,2015-07-22,21.7.2016,2016-07-21,Gold,Gold,0.0809,0.0809,Sagaing,Sagaing
0154/2015,"Ruby Dragon Mining Co., Ltd","Ruby Dragon Mining Co., Ltd",production,Production,50:50,22.7.2015,2015-07-22,21.7.2016,2016-07-21,Gold,Gold,0.0809,0.0809,Sagaing,Sagaing
0178/2009,"Ruby Dragon Mining Co., Ltd","Ruby Dragon Mining Co., Ltd",production,Production,50:50,9.10.2009,2009-10-09,8.10.2016,2016-10-08,Gold,Gold,0.0809,0.0809,Sagaing,Sagaing
0038/2010,"Ruby Dragon Mining Co., Ltd","Ruby Dragon Mining Co., Ltd",production,Production,50:50,4.2.2010,2010-02-04,3.2.2017,2017-02-03,Gold,Gold,0.0809,0.0809,Sagaing,Sagaing
0674/2010,"Ruby Dragon Mining Co., Ltd","Ruby Dragon Mining Co., Ltd",production,Production,50:50,20.10.2010,2010-10-20,19.10.2016,2016-10-19,Gold,Gold,0.0809,0.0809,Sagaing,Sagaing
0675/2010,"Ruby Dragon Mining Co., Ltd","Ruby Dragon Mining Co., Ltd",production,Production,50:50,20.10.2010,2010-10-20,19.10.2016,2016-10-19,Gold,Gold,0.0809,0.0809,Sagaing,Sagaing
0524/2010,"Red Mountain Production co., Ltd.","Red Mountain Production co., Ltd.",production,Production,50:50,10.8.2010,2010-08-10,9.8.2016,2016-08-09,Gold,Gold,0.0809,0.0809,Sagaing,Sagaing
0525/2010,"Red Mountain Production co., Ltd.","Red Mountain Production co., Ltd.",production,Production,50:50,10.8.2010,2010-08-10,9.8.2016,2016-08-09,Gold,Gold,0.0809,0.0809,Sagaing,Sagaing
0526/2010,"Red Mountain Production co., Ltd.","Red Mountain Production co., Ltd.",production,Production,50:50,10.8.2010,2010-08-10,9.8.2016,2016-08-09,Gold,Gold,0.0809,0.0809,Sagaing,Sagaing
0358/2010,"Red Mountain Production co., Ltd.","Red Mountain Production co., Ltd.",production,Production,50:50,14.5.2010,2010-05-14,13.5.2016,2016-05-13,Gold,Gold,0.0809,0.0809,Sagaing,Sagaing
0359/2010,"Red Mountain Production co., Ltd.","Red Mountain Production co., Ltd.",production,Production,50:50,14.5.2010,2010-05-14,13.5.2016,2016-05-13,Gold,Gold,0.0809,0.0809,Sagaing,Sagaing
0224/2009,"Etarnal Mining Co., Ltd","Etarnal Mining Co., Ltd",production,Production,50:50,13.11.2009,2009-11-13,12.11.2016,2016-11-12,Gold,Gold,0.0809,0.0809,Sagaing,Sagaing
0225/2009,"Etarnal Mining Co., Ltd","Etarnal Mining Co., Ltd",production,Production,50:50,13.11.2009,2009-11-13,12.11.2016,2016-11-12,Gold,Gold,0.0809,0.0809,Sagaing,Sagaing
0226/2009,"Etarnal Mining Co., Ltd","Etarnal Mining Co., Ltd",production,Production,50:50,13.11.2009,2009-11-13,12.11.2016,2016-11-12,Gold,Gold,0.0809,0.0809,Sagaing,Sagaing
0227/2009,"Etarnal Mining Co., Ltd","Etarnal Mining Co., Ltd",production,Production,50:50,13.11.2009,2009-11-13,12.11.2016,2016-11-12,Gold,Gold,0.0809,0.0809,Sagaing,Sagaing
0132/2012,"MCS Mining  Co., Ltd","MCS Mining Co., Ltd",production,Production,50:50,20.8.2012,2012-08-20,19.8.2016,2016-08-19,Gold,Gold,0.0809,0.0809,Sagaing,Sagaing
0172/2012,"Khaing Ngu War Shwe Co.,Ltd","Khaing Ngu War Shwe Co.,Ltd",production,Production,50:50,30.8.2012,2012-08-30,29.8.2016,2016-08-29,Gold,Gold,0.0809,0.0809,Sagaing,Sagaing
0068/2014,"ArKar Myint Manufacturing Co., Ltd","ArKar Myint Manufacturing Co., Ltd",production,Production,50:50,8.1.2014,2014-01-08,7.1.2017,2017-01-07,Gold,Gold,0.0809,0.0809,Sagaing,Sagaing
0102/2014,"Worm Pool  Co., Ltd","Worm Pool Co., Ltd",production,Production,50:50,4.3.2014,2014-03-04,3.3.2017,2017-03-03,Gold,Gold,0.0809,0.0809,Sagaing,Sagaing
0013/2015,"Worm Pool  Co., Ltd","Worm Pool Co., Ltd",production,Production,50:50,7.1.2015,2015-01-07,6.1.2017,2017-01-06,Gold,Gold,0.0809,0.0809,Sagaing,Sagaing
0223/2015,"Worm Pool  Co., Ltd","Worm Pool Co., Ltd",production,Production,50:50,2.12.2015,2015-12-02,1.12.2016,2016-12-01,Gold,Gold,0.0809,0.0809,Sagaing,Sagaing
0248/2014,"Myanmar Golden High Land Mining Co., Ltd","Myanmar Golden High Land Mining Co., Ltd",production,Production,50:50,17.9.2014,2014-09-17,16.9.2016,2016-09-16,Gold,Gold,0.0809,0.0809,Sagaing,Sagaing
0249/2014,"Myanmar Golden High Land Mining Co., Ltd","Myanmar Golden High Land Mining Co., Ltd",production,Production,50:50,17.9.2014,2014-09-17,16.9.2016,2016-09-16,Gold,Gold,0.0809,0.0809,Sagaing,Sagaing
0140/2015,"Kyaw Tet Aung Mining Co., Ltd","Kyaw Tet Aung Mining Co., Ltd",production,Production,50:50,1.7.2015,2015-07-01,30.6.2016,2016-06-30,Gold,Gold,0.0809,0.0809,Sagaing,Sagaing
0121/2015,"Asia Golden Light Mining Co., Ltd","Asia Golden Light Mining Co., Ltd",production,Production,50:50,10.6.2015,2015-06-10,9.6.2016,2016-06-09,Gold,Gold,0.0809,0.0809,Sagaing,Sagaing
0122/2015,"Asia Golden Light Mining Co., Ltd","Asia Golden Light Mining Co., Ltd",production,Production,50:50,10.6.2015,2015-06-10,9.6.2016,2016-06-09,Gold,Gold,0.0809,0.0809,Sagaing,Sagaing
