Code/Ref,Company_Name_cl,License_type_cl,Date of award,Award_date_cl,Expiry date,Expiry_date_cl,Commodity,Commodity_cl,Area (Km2),Area_acre_cl,Location (Region),Location_state_cl,License_location_cl,License_location_code_1_cl,Location_working 4,Coordinates of the license area,Column 10
 0005/2010,May Flower Mining Interprise Limited,Large,26.3.2010,2010-01-26,25.3.2035,2035-03-25,Coal,Coal,2.02347,2.02347,"Taninthayi,Dawei,Ban Chaung (1)",Tanintharyi,Dawei,Ban Chaung (1),,"95K/9(692306,712306,712292, 692926)",
 0006/2010,May Flower Mining Interprise Limited,Large,26.3.2010,2010-01-26,25.3.2035,2035-03-25,Coal,Coal,2.02347,2.02347,"Taninthayi,Dawei,Ban Chaung (2)",Tanintharyi,Dawei,Ban Chaung (2),,"95K/9(714278,734278,734264, 714264)",
 0007/2010,May Flower Mining Interprise Limited,Large,26.3.2010,2010-01-26,25.3.2035,2035-03-25,Coal,Coal,2.02347,2.02347,"Taninthayi,Dawei,Ban Chaung (3)",Tanintharyi,Dawei,Ban Chaung (3),,"95K/9(740248,760248,760234, 740234)",
 0001/2012,Than Phyo Thu Mining Limited,Large,1.2.2012,2012-01-01,31.1.2022,2022-01-31,Coal,Coal,6.68555,6.68555,"Taninthayi,Botepyine, Laynyar",Tanintharyi,Botepyine, Laynyar,,"96 J/13(A-J 960 830,B- J 980 830,C- J 980 790,D- J 960 790)",
 0005/2012,May Flower Mining Interprise Limited,Large,30.5.2012,2012-01-30,29.5.2022,2022-05-29,Coal,Coal,0.80939,0.80939,"Taninthayi,Dawei,Ban Chaung (4)",Tanintharyi,Dawei,Ban Chaung (4),,"95K/5 -O(720300,730300,730290, 720290)",
 0006/2012,May Flower Mining Interprise Limited,Large,30.5.2012,2012-01-30,29.5.2022,2022-05-29,Coal,Coal,0.80939,0.80939,"Taninthayi,Dawei,Ban Chaung (5)",Tanintharyi,Dawei,Ban Chaung (5),,"95K/9-O(682280,692280,692270, 682270)",
 0007/2012,May Flower Mining Interprise Limited,Large,30.5.2012,2012-01-30,29.5.2022,2022-05-29,Coal,Coal,0.80939,0.80939,"Taninthayi,Dawei,Ban Chaung (6)",Tanintharyi,Dawei,Ban Chaung (6),,"95K/9-O(735273,745273,745263, 735263)",
  0010/2015,Myanmar Economic Corporation,Large,27.5.2015,2015-01-27,26.5.2040,2040-05-26,Coal,Coal,2.09915,2.09915,"Taninthayi,Taninthayi,Thein Kwin",Tanintharyi,Taninthayi,Thein Kwin,,"96M/ 5E(619887,631877,620865,607875)",
 0001/2016,"Shwe Pinlae Co., Ltd",Large,28.12.2015,2015-01-28,27.12.2025,2025-12-27,Tin & Tungsten ,Tin and Tungsten,2.31485,2.31485,"Taninthayi,KyunSu, Kyalkayan",Tanintharyi,KyunSu, Kyalkayan,,"95L/12(725360,738320,753320,753326,746326,742339,734339,734345,740350,735350,735354,739355,738361)",
 0001/2009,"Max Myanmar Co.,Ltd",Large,18.8.2009,2009-01-18,17.8.2034,2034-08-17,Limestone,Limestone,0.9308,0.9308,"Nay Pyi Taw,Lewe,Taungfelar",Nay Pyi Taw,Lewe,Taungfelar,,"94A/6(887682,894682,984672, 885672, 885679,887679)",
0048/2011,Nay Pyi Taw,Large,31.8.2011,2011-01-31,30.8.2035,2035-08-30,Limestone,Limestone,0.60704,0.60704,"Nay Pyi Taw,Lewe,Taungfelar",Nay Pyi Taw,Lewe,Taungfelar,,"94A/6(873680,885680,885670, 871672)",
 005/2015,"Max Myanmar Co.,Ltd",Large,18.3.2015,2015-01-18,17.3.2025,2025-03-17,Limestone,Limestone,0.20235,0.20235,"Nay Pyi Taw,Lewe,Taungfelar",Nay Pyi Taw,Lewe,Taungfelar,,"94A/6+7(882659,883659,883655,884655,884649, 882649)",
18/1999,"No.(2)Heavy Industry, Ministry of Industry",Large,15.6.1999,1999-01-15,14.6.2019,2019-06-14,Limestone,Limestone,4.18049,4.18049,"Magwe,Thayat,Patarlane",Magway,Thayat,Patarlane,,"85M/3(444409,450420,462418, 467407,468400,457397,447406)",
 0006/2014,"Pothar Mining Co.,Ltd",Large,12.11.2014,2014-01-12,11.11.2024,2024-11-11,Coal,Coal,0.18211,0.18211,"Magwe, MinHla,Kantoe",Magway, MinHla,Kantoe,,"85I/9T(883145,884145,891137, 886138)",
0022/2015,"Myint Myat Chan Aye Production Co.,Ltd",Large,12.8.2015,2015-01-12,11.8.2015,2015-08-11,Coal,Coal,0.60097,0.60097,"Magwe,MinHla,TanpuyarKying",Magway,MinHla,TanpuyarKying,,"84L/12T(767381,771384,774379,770376)",
0014/1998,No.(3) Heavy Industry. Ministry Of Industry,Large,2.7.1998,1998-01-02,1.7.2018,2018-07-01,Marble,Marble,0.55022,0.55022,"Mandalay, Madaya,Kanma Taung",Mandalay, Madaya,Kanma Taung,,92B/3LA(575020),
" 0015/1998
",No.(3) Heavy Industry. Ministry Of Industry,Large,2.7.1998,1998-01-02,1.7.2018,2018-07-01,Marble,Marble,0.20235,0.20235,"Mandalay,Madaya,Wetletaw Taung",Mandalay,Madaya,Wetletaw Taung,,"93C/7L(806838,809838,806843,809843)",
" 0016/1998
",No.(3) Heavy Industry. Ministry Of Industry,Large,2.7.1998,1998-01-02,1.7.2018,2018-07-01,Marble,Marble,0.24282,0.24282,"Mandalay,Kyaukse,Taungbo Taung",Mandalay,Kyaukse,Taungbo Taung,,93 B/3(575020),
" 0015/2000
",No.(3) Heavy Industry. Ministry Of Industry,Large,26.4.2000,2000-01-26,25.4.2020,2020-04-25,Limestone,Limestone,1.00465,1.00465,"Mandalay,Kyaukse, Than Taw Myat",Mandalay,Kyaukse, Than Taw Myat,,"93C/6(742171, 743186,758185, 758177,746177,747174)",
" 0043/2000
",No.(3) Heavy Industry. Ministry Of Industry,Large,30.11.2000,2000-01-30,29.11.2020,2020-11-29,Feldspar,Feldspar,0.20235,0.20235,"Mandalay,Myitha,pyatkayawe",Mandalay,Myitha,pyatkayawe,,93 C/3(670730),
