Code/Ref,Company_Name_cl,License_type_cl,Date of application,Date of award,Award_date_cl,Expiry date,Expiry_date_cl,Commodity,Commodity_cl,Area (Km2),Area_acre_cl,Location (Region),Location_state_cl,License_location_cl,License_location_code_1_cl,location_working 4,Coordinates of the license area,Column 11
0001/2011,Myanma Economic Holding Ltd.,Large,,2011-01-03T00:00:00Z,2011-01-03,2036-01-02T00:00:00Z,2036-01-02,Copper,Copper,5841.444,5841.444,"Sagaing,SarLinGyi,Kyae Sin Taung",Sagaing,SarLinGyi,Kyae Sin Taung,,84 N/4  84 J/16,
 0010/2011,"Htoo International Industrial Gorup Co.,Ltd",Large,,2011-02-04T00:00:00Z,2011-02-04,2021-02-03T00:00:00Z,2021-02-03,Coal,Coal,6005.163,6005.163,"Sagaing,Kalaywa,Labinchaung",Sagaing,Kalaywa,Labinchaung,,"84  I/4,8 RU(740698,787698, 786660,739660 ) (730600,773600, 769573,730573)",
 6/2004,"Tun Thwin Mining Co.,Ltd",Large,,2014-07-09T00:00:00Z,2014-07-09,2019-07-08T00:00:00Z,2019-07-08,Coal,Coal,4500,4500,"Sagaing,Kalaywa,PaluZawa",Sagaing,Kalaywa,PaluZawa,,"84 I /7(789999,786840, 777840,767760, 782760,792840, 796999)",
 4/2005,Myanma Economic Holding Ltd.,Large,,2005-01-24T00:00:00Z,2005-01-24,2025-01-23T00:00:00Z,2025-01-23,Coal,Coal,5165.25,5165.25,"Sagaing,Kalaywa,KyoukOn Chaung,",Sagaing,Kalaywa,KyoukOn Chaung,,"84 I/4+8(785660,782601, 736601,727660)",
 1/2007,"Thiha Thant Hein Co.,Ltd",Large,,2007-12-28T00:00:00Z,2007-12-28,2017-12-27T00:00:00Z,2017-12-27,Coal,Coal,2324.9,2324.9,"Sagaing,Mawleik,MawLikeGyi & NanPanMon Chaung",Sagaing,Mawleik,MawLikeGyi & NanPanMon Chaung,,"84 I/6 RP(825320,835320, 835270,830270, 830195,815195, 815220,825220)",
0005/2008,Yangon City Development Committee,Large,,2008-11-10T00:00:00Z,2008-11-10,2018-11-09T00:00:00Z,2018-11-09,Coal,Coal,4105,4105,"Sagaing,Mawleik,DarThweKyouk",Sagaing,Mawleik,DarThweKyouk,,"84 I/5(844579,866563, 818505,791521)",
0003/2010,Myanmar Economic Holding Limited,Large,,2010-03-05T00:00:00Z,2010-03-05,2048-03-04T00:00:00Z,2048-03-04,Copper,Copper,7946.736,7946.736,"Sagaing,SarLinGyi,Latpataung",Sagaing,SarLinGyi,Latpataung,,LPB(30 22 5 38. 708280 95 4 27 . 038410),
0004/2008,Myanmar CNMC Nickel Co; LTD,Large,,2008-07-28T00:00:00Z,2008-07-28,2028-07-27T00:00:00Z,2028-07-27,Nickel,Nickel,,,"Mandalay,Thaneikyin,Ta Gaung Taung",Mandalay,Thaneikyin,Ta Gaung Taung,,93 A/3 A(N-23-36 E-96-06)B(N 23-36E 96-10) C(N-23-33 E-93-10)D(N-23-33-E-96-06),
0015/2010,"Dagon Mining Co.,Ltd",Large,,2010-10-29T00:00:00Z,2010-10-29,2020-10-28T00:00:00Z,2020-10-28,Coal,Coal,3320.36,3320.36,"Sagaing,Mawleik,DarThweKyouk",Sagaing,Mawleik,DarThweKyouk,,"83 I /5RP (795519, 825500, 793460,763459, 773489)",
0005/2011,Shwe Taung Mining,Large,,2011-01-18T00:00:00Z,2011-01-18,2021-01-17T00:00:00Z,2021-01-17,Coal,Coal,3378.2,3378.2,"Sagaing,Kalawa ,Plauzawa",Sagaing,Kalawa ,Plauzawa,,"84 I /7(779999,789999, 786840,777840)",
