Code/Ref,License holder,Company_name_cl,Type of License,License_type_cl,Date of award,Award_date_cl,Expiry date,Expiry_date_cl,Commodity,Commodity_cl,Area (Km2),Area_km2_cl,Location (Region),Location_state_cl,Location (Township),License_location_cl,Location (Detail),License_location_code_1_cl,Coordinates of the license area
Production 0055/2014,"ThitsarPyatson  Co.,Ltd.","ThitsarPyatson Co.,Ltd.",Small  Scale,Small,3.12.2014,2014-12-03,2.12.2019,2019-12-02,Gypsum,Gypsum,0.2,0.2,Kayin,Kayin,Hlaine Bwe,Hlaine Bwe,Methamuhta,Methamuhta,94 J/15
Production 0010/2014,Myanmar  Economic  Corporation,Myanmar Economic Corporation,Small  Scale,Small,11.2.2015,2015-02-11,10.2.2020,2020-02-10,Gypsum,Gypsum,0.2,0.2,Kayin,Kayin,Hlaine Bwe,Hlaine Bwe,Quelay,Quelay,94 J/15
Production 0046/2014,"Chit  Linn Mying  Co., Ltd.","Chit Linn Mying Co., Ltd.",Small  Scale,Small,10.9.2014,2014-09-10,9.9.2019,2019-09-09,Gypsum,Gypsum,0.388,0.388,Kayin,Kayin,Hlaine Bwe,Hlaine Bwe,Kho Bie,Kho Bie,94 J/16
Production 0047/2014,"Chit  Linn Mying  Co., Ltd.","Chit Linn Mying Co., Ltd.",Small  Scale,Small,10.9.2014,2014-09-10,9.9.2019,2019-09-09,Gypsum,Gypsum,0.388,0.388,Kayin,Kayin,Hlaine Bwe,Hlaine Bwe,Kho Bie,Kho Bie,94 J/16
Production 0013/2015,"Shwelinkar Co.,Ltd.","Shwelinkar Co.,Ltd.",Small  Scale,Small,19.2.2015,2015-02-19,18.2.2020,2020-02-18,Coal,Coal,0.589,0.589,Mandalay,Mandalay,Tharzi,Tharzi,Waryate,Waryate,93 D/9
Production 0014/2015,"Shwelinkar Co.,Ltd.","Shwelinkar Co.,Ltd.",Small  Scale,Small,19.2.2015,2015-02-19,18.2.2020,2020-02-18,Coal,Coal,0.589,0.589,Mandalay,Mandalay,Tharzi,Tharzi,Waryate,Waryate,93 D/9
Production 0015/2015,"Shwelinkar Co.,Ltd.","Shwelinkar Co.,Ltd.",Small  Scale,Small,19.2.2015,2015-02-19,18.2.2020,2020-02-18,Coal,Coal,0.589,0.589,Mandalay,Mandalay,Tharzi,Tharzi,Waryate,Waryate,93 D/9
Production 0054/2014,Myanmar  Economic  U Pie  Ltd.,Myanmar Economic U Pie Ltd.,Small  Scale,Small,3.12.2014,2014-12-03,2.12.2019,2019-12-02,Bauxide,Bauxite,0.728,0.728,Mandalay,Mandalay,Pyin Oo  lwin,Pyin Oo lwin,Innyar,Innyar,84 I/4 & 8 
Production 0018/2015,"Yazar Min Min  Co.,Ltd.","Yazar Min Min Co.,Ltd.",Small  Scale,Small,4.2.2015,2015-02-04,3.2.2020,2020-02-03,Marbel (Decorative),Decorative Marble,0.067,0.067,Mandalay,Mandalay,Maddyar,Maddyar,Pae Lei Ann ,Pae Lei Ann,93 B/3
Production 0055/2014,"New Era Gold Co., Ltd.","New Era Gold Co., Ltd.",Small  Scale,Small,5.2.2015,2015-02-05,3.2.2020,2020-02-03,Marbel (Decorative),Decorative Marble,0.404,0.404,Mandalay,Mandalay,Maddyar,Maddyar,Pae Lei Ann ,Pae Lei Ann,93 B/3
Production 000392014,"Win pyat Co,.Ltd.","Win pyat Co,.Ltd.",Small  Scale,Small,27.8.2014,2014-08-27,26.8.2024,2024-08-26,Coal,Coal,0.2,0.2,Shan,Shan,Kalaw,Kalaw,Ya taung,Ya taung,93 D/10 
Production 0066/2014,"Happy   Cloud   Mining  Co.,  Ltd.","Happy Cloud Mining Co., Ltd.",Small  Scale,Small,31.12.2014,2014-12-31,30.12.2019,2019-12-30,Coal,Coal,0.372,0.372,Shan,Shan,Kalaw,Kalaw,Lwe Lon Taung,Lwe Lon Taung,93D/9&10
Production 0067/2014,"Happy   Cloud   Mining  Co.,  Ltd.","Happy Cloud Mining Co., Ltd.",Small  Scale,Small,31.12.2014,2014-12-31,30.12.2019,2019-12-30,Coal,Coal,0.372,0.372,Shan,Shan,Kalaw,Kalaw,Lwe Lon Taung,Lwe Lon Taung,93D/9&10
Production 0025/2014,"Wai Yan Lwin Co., Ltd.","Wai Yan Lwin Co., Ltd.",Small  Scale,Small,19.2.2014,2014-02-19,18.2.2017,2017-02-18,Ochre,Ochre,0.099,0.099,Mandalay,Mandalay,Pyaw Bwe ,Pyaw Bwe,Yar Shae Yoe Kwin,Yar Shae Yoe Kwin,84 P/14
Production 0024/2014,"Wai Yan Lwin Co., Ltd.","Wai Yan Lwin Co., Ltd.",Small  Scale,Small,19.2.2015,2015-02-19,18.2.2018,2018-02-18,Ochre,Ochre,,,Mandalay,Mandalay,Ngan Zun ,Ngan Zun,A Nauk Taw,A Nauk Taw,84 O/9
Production 0023/2014,"Wai Yan Lwin Co., Ltd.","Wai Yan Lwin Co., Ltd.",Small  Scale,Small,19.2.2016,2016-02-19,18.2.2019,2019-02-18,Fire Clay,Fire Clay,,,Mandalay,Mandalay,Tada - U,Tada - U,Taw Gyi (B) Kwin,Taw Gyi (B) Kwin,84 O/14
Production 0045/2015,Tun Min family Decorative Stone,Tun Min family Decorative Stone,Small  Scale,Small,12.11.2014,2014-11-12,11.11.2019,2019-11-11,Lime Stone,Limestone,0.048,0.048,Mon ,Mon,Kyail Mayaw ,Kyail Mayaw,Kawt Kalut ,Kawt Kalut,94 H/11&15
Production 0033/2014,,,Small  Scale,Small,9.4.2014,2014-04-09,8.4.2017,2017-04-08,Gypsum,Gypsum,0.31,0.31,Tanintharyi,Tanintharyi,,,Ayuchaungphar,Ayuchaungphar,
