Application_date_cl,Area_acre_cl,Area_km2_cl,Award_date_cl,Code/Ref,Commodity_cl,Company_Name_cl,Department,Expiry_date_cl,License_type_cl,Year,Location (Region),Location_state_cl,License_location_cl,License_location_code_1_cl,License_location_code_2_cl
,, 0.28 ,2015-04-07,14/2010,Coal,"Tripal A Cement Internatinal Co.,Ltd",,2020-04-06,First-come-first-serve,2016-17,,Shan,Thipaw,San Laung,
,, 7.41 ,2004-03-31,2/2004,Coal,"UE Export & Import Co.,Ltd",,2019-03-30,First-come-first-serve,2016-17,,Shan,Thipaw,Makaw,
,, 38.43 ,2009-12-31,0006/2010,Lead and Zinc Associated,Win Myint Moe Industry,,2024-12-30,First-come-first-serve,2016-17,,Shan,Namtu,Namtu,
,, 10.03 ,2010-05-01,0009/2010,Lead and Zinc Associated,"Linn Paye Mining Co.,Ltd",,2020-04-30,First-come-first-serve,2016-17,,Shan,Naungcho,Yatanartheigi,
,, 11.32 ,2010-08-31,0013/2010,Lead and Zinc Associated,"Ngwe Yi Pale Mining Co.,Ltd",,2020-08-30,First-come-first-serve,2016-17,,Shan,Thipaw,Nanma,
,, 2.30 ,2011-01-18,0004/2011,Quartz,"Green Buyar Mining Co., Ltd",,2021-01-17,First-come-first-serve,2016-17,,Shan,Namkham,Mammine,
,, 0.60 ,2011-02-15,0019/2011,Coal,"Mine Htet Co.,Ltd",,2021-02-14,First-come-first-serve,2016-17,,Shan,Tangyan,Mampan,
,, 0.81 ,2011-02-16,0021/2011,Coal,"Ngwe Yi Pale Mining Co.,Ltd",,2021-02-15,First-come-first-serve,2016-17,,Shan,lashio,Harput,
,, 3.97 ,2011-03-08,0028/2011,Bauxite,"Ngwe Yi Pale Mining Co.,Ltd",,2036-03-07,First-come-first-serve,2016-17,,Shan,Kyaukmal,Ban Bawe Kyint,
,, 1.82 ,2011-03-08,0030/2011,Limestone,"Ngwe Yi Pale Mining Co.,Ltd",,2036-03-07,First-come-first-serve,2016-17,,Shan,Naungcho,Loneyone,
,, 1.88 ,2011-03-30,0039/2011,Coal,"Ngwe Yi Pale Mining Co.,Ltd",,2021-03-29,First-come-first-serve,2016-17,,Shan,Tangyan,Narngwe,
,, 0.61 ,2011-03-30,0038/2011,Gypsum,"Ngwe Yi Pale Mining Co.,Ltd",,2021-03-29,First-come-first-serve,2016-17,,Shan,Thipaw,Ywarthit,
,, 0.61 ,2011-10-20,0049/2011,Coal,"Ngwe Yi Pale Mining Co.,Ltd",,2021-10-19,First-come-first-serve,2016-17,,Shan,lashio,Minepar,
,, 2.22 ,2010-05-07,0043/2011,Coal,"Directorate of Military office of Chief of Defence Defence Industries, Ministy of Defence",,2035-05-06,First-come-first-serve,2016-17,,Shan,lashio,Nanma,
,, 0.62 ,2013-01-01,0001/2013,Gypsum,"First Resource Co,.Ltd",,2023-12-31,First-come-first-serve,2016-17,,Shan,Thipaw,Karlane,
,, 1.84 ,2015-05-20,0004/2014,Coal,Myanmar Ah Htut Ah Htite Mining,,2024-04-01,First-come-first-serve,2016-17,,Shan,Kyaukmal,Nar Saing,
,, 0.61 ,2015-02-04,0003/2015,Gypsum,"Tripal A Cement
 Internatinal Co.,Ltd",,2025-02-03,First-come-first-serve,2016-17,,Shan,Thipaw,Kwinpyin,
,, 0.76 ,2015-04-01,0007/2015,Marble,"Myanmar Arrow Head Mining Co.,Ltd",,2025-03-31,First-come-first-serve,2016-17,,Shan,Namkham,hinlone,
,, 0.32 ,2015-06-17,0015/2015,Gypsum,Myanmar Economic Corporation,,2025-05-31,First-come-first-serve,2016-17,,Shan,Thipaw,Mantaung,
