,company_name,name_of_revenue_stream,paid_to,payment_category,units,per_company_original,per_company_adjust,per_company_final,per_government_original,per_government_adjust,per_government_final,final_difference,comment
81,Ayar Jade Co; Ltd.,Contribution to the State/region social development fund,States/Regions,payments in cash,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
82,Ayar Jade Co; Ltd.,Mandatory Corporate Social Responsibility,Social  Payments ,b- unilateral company disclosures,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
83,Ayar Jade Co; Ltd.,Voluntary Corporate Social Responsibility,Social  Payments ,b- unilateral company disclosures,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
84,Shwe Pyi Tha Gems Trading & Faceting,Production Split (Government and SOEs share),"Ministry of Natural Resources and Environmental Conservation (MONREC)
Department of Mines
MGE",payments in kind,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
85,Shwe Pyi Tha Gems Trading & Faceting,Royalties on production - 20% collected by/paid to  MGE,"Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,21626680.0,10311800.0,31938480.0,0.0,31938480.0,31938480.0,0.0,
86,Shwe Pyi Tha Gems Trading & Faceting,Royalties on production- 20% collected by/paid to  DOM,"Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,0.0,0.0,0.0,31938480.0,-31938480.0,0.0,0.0,
87,Shwe Pyi Tha Gems Trading & Faceting,Sale Split - 40%,"Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,4430131935.16,35990415.0,4466122350.16,4466122350.16,0.0,4466122350.16,0.0,
88,Shwe Pyi Tha Gems Trading & Faceting,Royalties on Sales- 7%,"Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,1406391713.18,0.0,1406391713.18,1406391713.18,0.0,1406391713.18,0.0,
89,Shwe Pyi Tha Gems Trading & Faceting,"Service  Fees - 3%, 1%","Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,602738532.7,0.0,602738532.7,602738532.7,0.0,602738532.7,0.0,
90,Shwe Pyi Tha Gems Trading & Faceting,Permit fees,"Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,0.0,63600000.0,63600000.0,63600000.0,0.0,63600000.0,0.0,
91,Shwe Pyi Tha Gems Trading & Faceting,"Incentive fees 1%, 2%","Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,180822236.14000002,0.0,180822236.14000002,180822236.14000002,0.0,180822236.14000002,0.0,
92,Shwe Pyi Tha Gems Trading & Faceting,"Commercial Tax - 15%, 5% collected by (paid to) MGE","Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,3013568218.78,21593339.0,3035161557.78,3035161557.78,0.0,3035161557.78,0.0,
93,Shwe Pyi Tha Gems Trading & Faceting,Land rental fees,"Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
94,Shwe Pyi Tha Gems Trading & Faceting,Environmental / Plantation fees,"Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
95,Shwe Pyi Tha Gems Trading & Faceting,"Other significant payments (> 50,000 USD)","Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
96,Shwe Pyi Tha Gems Trading & Faceting,Corporate Income Tax (CIT),"Ministry of Planing and Finance
IRD
Customs department",payments in cash,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
97,Shwe Pyi Tha Gems Trading & Faceting,Commercial Tax,"Ministry of Planing and Finance
IRD
Customs department",payments in cash,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
98,Shwe Pyi Tha Gems Trading & Faceting,Custom Duties,"Ministry of Planing and Finance
IRD
Customs department",payments in cash,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
99,Shwe Pyi Tha Gems Trading & Faceting,Royalties on Sales,"Ministry of Planing and Finance
IRD
Customs department",payments in cash,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
100,Shwe Pyi Tha Gems Trading & Faceting,"Other significant payments (> 50,000 USD) IRD","Ministry of Planing and Finance
IRD
Customs department",payments in cash,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
101,Shwe Pyi Tha Gems Trading & Faceting,Emporium Fees / Sale Fees,Central Committee (MONREC),payments in cash,MMK,180822236.14000002,0.0,180822236.14000002,180822236.14000002,0.0,180822236.14000002,0.0,
102,Shwe Pyi Tha Gems Trading & Faceting,Contribution to the State/region social development fund,States/Regions,payments in cash,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
103,Shwe Pyi Tha Gems Trading & Faceting,Mandatory Corporate Social Responsibility,Social  Payments ,b- unilateral company disclosures,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
104,Shwe Pyi Tha Gems Trading & Faceting,Voluntary Corporate Social Responsibility,Social  Payments ,b- unilateral company disclosures,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
